surface,router,name,proposedPermission,kind,procedure,authority,module,level,roles,branch,sensitivity,sensitivityWhy,flags,loc
"express-mount","(express)","MOUNT /api/trpc","","mount","MOUNT","mount","","","","","","نقطة تركيب (tenancy/csrf middleware)","EXPRESS_SURFACE","server/index.ts:391"
"express-mount","(express)","MOUNT /api/trpc","","mount","MOUNT","mount","","","","","","نقطة تركيب (tenancy/csrf middleware)","EXPRESS_SURFACE","server/index.ts:548"
"express-mount","(express)","MOUNT /api/trpc","","mount","MOUNT","mount","","","","","","نقطة تركيب (tenancy/csrf middleware)","EXPRESS_SURFACE","server/index.ts:556"
"express-mount","(express)","MOUNT /api/trpc","","mount","MOUNT","mount","","","","","","نقطة تركيب (tenancy/csrf middleware)","EXPRESS_SURFACE","server/index.ts:576"
"express-mount","(express)","MOUNT /api/print","","mount","MOUNT","mount","","","","","","نقطة تركيب (tenancy/csrf middleware)","EXPRESS_SURFACE","server/index.ts:591"
"express-mount","(express)","MOUNT /api/img","","mount","MOUNT","mount","","","","","","نقطة تركيب (tenancy/csrf middleware)","EXPRESS_SURFACE","server/index.ts:597"
"express-mount","(express)","MOUNT /api/backups","","mount","MOUNT","mount","","","","","","نقطة تركيب (tenancy/csrf middleware)","EXPRESS_SURFACE","server/index.ts:614"
"express-mount","(express)","MOUNT /api/wa/media","","mount","MOUNT","mount","","","","","","نقطة تركيب (tenancy/csrf middleware)","EXPRESS_SURFACE","server/index.ts:618"
"express-mount","(express)","MOUNT /api/hr/applicant-cv","","mount","MOUNT","mount","","","","","","نقطة تركيب (tenancy/csrf middleware)","EXPRESS_SURFACE","server/index.ts:622"
"express-mount","(express)","MOUNT /api/webhooks","","mount","MOUNT","mount","","","","","","نقطة تركيب (tenancy/csrf middleware)","EXPRESS_SURFACE","server/index.ts:646"
"express-mount","(express)","MOUNT /api/webhooks/company/:companyCode","","mount","MOUNT","mount","","","","","","نقطة تركيب (tenancy/csrf middleware)","EXPRESS_SURFACE","server/index.ts:647"
"job","(scheduled)","interval","","interval","interval","none","","","","","","","JOB_NO_PRINCIPAL","server/db.ts:181"
"job","(scheduled)","interval","","interval","interval","none","","","","","","","JOB_NO_PRINCIPAL","server/hr-bridge-worker.ts:144"
"job","(scheduled)","cron","","cron","cron","none","","","","","","","JOB_NO_PRINCIPAL","server/index.ts:746"
"job","(scheduled)","interval","","interval","interval","none","","","","","","","JOB_NO_PRINCIPAL","server/middleware/overloadGuard.ts:27"
"job","(scheduled)","interval","","interval","interval","none","","","","","","","JOB_NO_PRINCIPAL","server/routers/authRouter.ts:82"
"job","(scheduled)","interval","","interval","interval","none","","","","","","","JOB_NO_PRINCIPAL","server/routers/saleRouter.ts:77"
"job","(scheduled)","cron","","cron","cron","none","","","","","","","JOB_NO_PRINCIPAL","server/services/delivery/outboxWorker.ts:167"
"job","(scheduled)","interval","","interval","interval","none","","","","","","","JOB_NO_PRINCIPAL","server/services/hrDevices/bridge.ts:298"
"job","(scheduled)","interval","","interval","interval","none","","","","","","","JOB_NO_PRINCIPAL","server/services/hrDevices/bridge.ts:327"
"job","(scheduled)","interval","","interval","interval","none","","","","","","","JOB_NO_PRINCIPAL","server/services/hrDevices/bridge.ts:350"
"job","(scheduled)","interval","","interval","interval","none","","","","","","","JOB_NO_PRINCIPAL","server/services/maintenanceService.ts:386"
"job","(scheduled)","cron","","cron","cron","none","","","","","","","JOB_NO_PRINCIPAL","server/services/morningPushScheduler.ts:207"
"job","(scheduled)","interval","","interval","interval","none","","","","","","","JOB_NO_PRINCIPAL","server/services/nativePushOutboxWorker.ts:293"
